iter	Passed	Remaining
182	329	1469
183	329	1463
184	330	1456
185	331	1450
186	332	1444
187	332	1438
188	333	1432
189	334	1427
190	335	1422
191	336	1417
192	337	1411
193	338	1405
194	339	1400
195	340	1395
196	341	1390
197	341	1384
198	342	1378
199	343	1373
200	344	1367
201	344	1362
202	345	1356
203	346	1351
204	347	1346
205	347	1340
206	348	1335
207	349	1332
208	350	1327
209	351	1323
210	352	1318
211	353	1313
212	354	1309
213	355	1304
214	355	1299
215	356	1294
216	357	1289
217	358	1284
218	358	1279
219	359	1275
220	360	1270
221	361	1265
222	362	1261
223	362	1257
224	363	1253
225	364	1249
226	365	1245
227	366	1241
228	367	1237
229	368	1234
230	369	1230
231	370	1227
232	371	1223
233	372	1219
234	373	1215
235	374	1211
236	375	1208
237	376	1204
238	376	1200
239	377	1196
240	378	1192
241	379	1189
242	380	1185
243	381	1181
244	382	1177
245	382	1173
246	383	1169
247	384	1165
248	385	1161
249	385	1157
250	386	1154
251	387	1150
252	388	1147
253	389	1143
254	390	1139
255	390	1136
256	391	1132
257	392	1129
258	393	1125
259	394	1122
260	395	1119
261	396	1116
262	397	1113
263	397	1109
264	398	1106
265	399	1102
266	400	1099
267	401	1095
268	402	1092
269	402	1089
270	403	1085
271	404	1082
272	405	1079
273	406	1076
274	406	1072
275	407	1069
276	408	1066
277	409	1063
278	410	1060
279	411	1058
280	412	1054
281	413	1051
282	414	1048
283	414	1045
284	415	1042
285	416	1039
286	417	1036
287	418	1033
288	418	1030
289	419	1027
290	420	1024
291	421	1021
292	421	1018
293	422	1015
294	423	1012
295	424	1010
296	425	1007
297	426	1004
298	427	1001
299	428	999
300	429	996
301	429	993
302	430	990
303	431	987
304	432	984
305	432	981
306	433	978
307	434	976
308	435	973
309	435	970
310	436	967
311	437	964
312	438	962
313	439	960
314	440	958
315	441	955
316	442	953
317	443	950
318	443	947
319	444	944
320	445	942
321	446	939
322	446	936
323	447	933
324	448	931
325	449	928
326	450	926
327	450	923
328	451	921
329	452	919
330	453	916
331	454	914
332	455	912
333	456	909
334	456	907
335	457	904
336	458	901
337	459	899
338	460	897
339	460	894
340	461	892
341	462	889
342	463	887
343	464	885
344	465	882
345	465	880
346	466	878
347	467	875
348	468	873
349	469	871
350	470	869
351	471	867
352	471	864
353	472	862
354	473	859
355	474	857
356	474	855
357	475	853
358	476	850
359	477	848
360	478	846
361	478	844
362	479	842
363	480	839
364	481	837
365	482	835
366	483	833
367	484	831
368	485	829
369	485	827
370	486	825
371	487	823
372	488	821
373	489	818
374	490	816
375	490	814
376	491	812
377	492	810
378	493	808
379	494	806
380	494	803
381	495	801
382	496	799
383	497	797
384	498	795
385	498	793
386	500	792
387	501	790
388	502	788
389	502	786
390	503	784
391	505	783
392	505	781
393	506	779
394	507	777
395	508	775
396	509	773
397	510	771
398	510	769
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	516	758
405	517	756
406	518	754
407	518	752
408	519	750
409	520	748
410	521	746
411	522	745
412	522	743
413	524	742
414	525	740
415	525	738
416	526	736
417	527	734
418	528	732
419	529	731
420	530	729
421	531	727
422	532	725
423	532	723
424	533	721
425	534	719
426	535	718
427	535	716
428	536	714
429	537	712
430	538	710
431	539	708
432	539	707
433	540	705
434	541	703
435	542	701
436	543	699
437	544	698
438	545	696
439	546	695
440	546	693
441	547	691
442	548	689
443	549	687
444	550	686
445	550	684
446	551	682
447	552	680
448	553	679
449	554	677
450	555	675
451	555	673
452	556	672
453	557	670
454	558	668
455	559	666
456	560	665
457	560	663
458	561	662
459	562	660
460	563	658
461	564	657
462	565	655
463	565	653
464	566	652
465	567	650
466	568	648
467	569	647
468	569	645
469	570	643
470	571	641
471	572	640
472	572	638
473	573	636
474	574	635
475	575	633
476	576	632
477	577	630
478	578	629
479	579	627
480	579	625
